person_age,person_income,person_home_ownership,RENT,OWN,MORTGAGE,OTHER,Experience,loan_intent,PERSONAL,EDUCATION,MEDICAL,VENTURE,HOMEIMPROVEMENT,DEBTCONSOLIDATION,loan_grade,loan_grade A,,Grade b,grade c,grade d,grade e,grade f,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
23,95000,RENT,1,0,0,0,2,VENTURE,0,0,0,1,0,0,A,1,0,0,0,0,0,0,35000,7.9,1,0.37,0,2
26,108160,RENT,1,0,0,0,4,EDUCATION,0,1,0,0,0,0,E,0,0,0,0,1,0,0,35000,18.39,1,0.32,0,4
23,115000,RENT,1,0,0,0,2,EDUCATION,0,1,0,0,0,0,A,1,0,0,0,0,0,0,35000,7.9,0,0.3,0,4
23,500000,MORTGAGE,0,0,1,0,7,DEBTCONSOLIDATION,0,0,0,0,0,1,B,0,1,0,0,0,0,0,30000,10.65,0,0.06,0,3
23,120000,RENT,1,0,0,0,0,EDUCATION,0,1,0,0,0,0,A,1,0,0,0,0,0,0,35000,7.9,0,0.29,0,4
23,92111,RENT,1,0,0,0,7,MEDICAL,0,0,1,0,0,0,F,0,0,0,0,0,1,0,35000,20.25,1,0.32,0,4
23,113000,RENT,1,0,0,0,8,DEBTCONSOLIDATION,0,0,0,0,0,1,D,0,0,0,1,0,0,0,35000,18.25,1,0.31,0,4
24,10800,MORTGAGE,0,0,1,0,8,EDUCATION,0,1,0,0,0,0,B,0,1,0,0,0,0,0,1750,10.99,1,0.16,0,2
25,162500,RENT,1,0,0,0,2,VENTURE,0,0,0,1,0,0,A,1,0,0,0,0,0,0,35000,7.49,0,0.22,0,4
25,137000,RENT,1,0,0,0,9,PERSONAL,1,0,0,0,0,0,E,0,0,0,0,1,0,0,34800,16.77,0,0.25,1,2
22,65000,RENT,1,0,0,0,4,EDUCATION,0,1,0,0,0,0,D,0,0,0,1,0,0,0,34000,17.58,1,0.52,0,4
24,10980,OWN,0,1,0,0,0,PERSONAL,1,0,0,0,0,0,A,1,0,0,0,0,0,0,1500,7.29,0,0.14,0,3
22,80000,RENT,1,0,0,0,3,PERSONAL,1,0,0,0,0,0,D,0,0,0,1,0,0,0,33950,14.54,1,0.42,1,4
24,67746,RENT,1,0,0,0,8,HOMEIMPROVEMENT,0,0,0,0,1,0,C,0,0,1,0,0,0,0,33000,12.68,1,0.49,0,3
21,11000,MORTGAGE,0,0,1,0,3,VENTURE,0,0,0,1,0,0,E,0,0,0,0,1,0,0,4575,17.74,1,0.42,1,3
23,11000,OWN,0,1,0,0,0,PERSONAL,1,0,0,0,0,0,A,1,0,0,0,0,0,0,1400,9.32,0,0.13,0,3
24,65000,RENT,1,0,0,0,6,HOMEIMPROVEMENT,0,0,0,0,1,0,B,0,1,0,0,0,0,0,32500,9.99,1,0.5,0,3
21,11389,OTHER,0,0,0,1,5,EDUCATION,0,1,0,0,0,0,C,0,0,1,0,0,0,0,4000,12.84,1,0.35,1,2
25,108160,RENT,1,0,0,0,4,EDUCATION,0,1,0,0,0,0,E,0,0,0,0,1,0,0,35000,18.39,1,0.32,0,4
22,115000,RENT,1,0,0,0,2,EDUCATION,0,1,0,0,0,0,A,1,0,0,0,0,0,0,35000,7.9,0,0.3,0,4
24,500000,MORTGAGE,0,0,1,0,7,DEBTCONSOLIDATION,0,0,0,0,0,1,B,0,1,0,0,0,0,0,30000,10.65,0,0.06,0,3
22,120000,RENT,1,0,0,0,0,EDUCATION,0,1,0,0,0,0,A,1,0,0,0,0,0,0,35000,7.9,0,0.29,0,4
24,92111,RENT,1,0,0,0,7,MEDICAL,0,0,1,0,0,0,F,0,0,0,0,0,1,0,35000,20.25,1,0.32,0,4
21,113000,RENT,1,0,0,0,8,DEBTCONSOLIDATION,0,0,0,0,0,1,D,0,0,0,1,0,0,0,35000,18.25,1,0.31,0,4
26,10800,MORTGAGE,0,0,1,0,8,EDUCATION,0,1,0,0,0,0,B,0,1,0,0,0,0,0,1750,10.99,1,0.16,0,2
